Time(sec),Force_X,Force_Y,Force_Z
0.208995,331.9,326.7,0
0.220587,331.9,326.7,0
0.232385,331.9,326.6,0
0.241952,331.9,326.7,0
0.25547,331.9,326.6,0
0.269773,332,326.7,0
0.278138,331.9,326.6,0
0.288761,332,326.6,0
0.30133,332,326.6,0
0.313856,331.9,326.7,0
0.32716,331.9,326.8,0
0.338492,331.9,326.8,0
0.346896,331.9,326.8,0
0.35965,331.9,326.7,0
0.372072,331.9,326.6,0
0.381166,331.9,326.5,0
0.39114,331.9,326.5,0
0.40448,331.7,326.4,0
0.413386,331.6,326.3,0
0.427301,331.6,326.2,0
0.440821,331.6,326.1,0
0.452785,331.6,326.1,0
0.463025,331.5,326.1,0
0.475623,331.4,326.2,0
0.483039,331.2,326.3,0
0.497512,331.1,326.5,0
0.510111,331,326.5,0
0.524399,331.1,326.6,0
0.534686,331.2,326.8,0
0.544489,331.2,326.8,0
0.555269,331.2,326.8,0
0.568035,331.2,326.8,0
0.577354,331.3,326.9,0
0.590149,331.4,327,0
0.601814,331.5,327.1,0
0.613334,331.4,327,0
0.625679,331.5,327,0
0.639781,331.6,326.9,0
0.651173,331.6,326.8,0
0.65877,331.5,326.9,0
0.677896,331.4,326.9,0
0.681221,331.3,326.8,0
0.693156,331.3,326.7,0
0.70567,331.3,326.5,0
0.71473,331.3,326.5,0
0.726994,331.5,326.5,0
0.735211,331.6,326.4,0
0.750114,331.5,326.6,0
0.764069,331.5,326.6,0
0.772615,331.5,326.7,0
0.78575,331.5,326.8,0
0.798551,331.6,326.9,0
0.806634,331.5,327,0
0.819543,331.4,327.2,0
0.8341,331.5,327.2,0
0.848081,331.5,327.3,0
0.859667,331.4,327.5,0
0.867741,331.4,327.3,0
0.879106,331.4,327.2,0
0.892212,331.4,327.3,0
0.904467,331.5,327.3,0
0.915761,331.4,327.3,0
0.929624,331.5,327.3,0
0.938023,331.5,327.2,0
0.949122,331.4,327.1,0
0.960974,331.3,327,0
0.974687,331.4,327,0
0.98825,331.4,327.2,0
0.994583,331.3,327.3,0
1.00829,331.3,327.1,0
1.01829,331.3,327.1,0
1.02884,331.3,327.1,0
1.03842,331.2,327.1,0
1.05138,331.3,327,0
1.05946,331.4,326.9,0
1.0727,331.4,326.9,0
1.08681,331.4,326.9,0
1.09622,331.4,326.8,0
1.10824,331.4,326.6,0
1.12097,331.4,326.5,0
1.13008,331.3,326.5,0
1.14445,331.4,326.4,0
1.15637,331.5,326.3,0
1.16515,331.5,326.4,0
1.17986,331.5,326.4,0
1.1938,331.7,326.3,0
1.20158,331.6,326.3,0
1.21555,331.7,326.3,0
1.22578,331.8,326.5,0
1.23962,331.7,326.6,0
1.24897,331.7,326.7,0
1.26093,331.6,326.7,0
1.27353,331.5,326.9,0
1.28577,331.4,326.9,0
1.29735,331.3,327,0
1.3115,331.3,327.1,0
1.32074,331.4,327.1,0
1.32973,331.3,327.1,0
1.34256,331.2,327,0
1.35568,331.4,327,0
1.36804,331.4,326.9,0
1.37586,331.5,327,0
1.38487,331.6,326.8,0
1.39797,331.7,326.8,0
1.4118,331.8,326.8,0
1.4266,331.6,326.7,0
1.4382,331.6,326.7,0
1.44587,331.7,326.6,0
1.45735,331.7,326.7,0
1.47193,331.6,326.7,0
1.48324,331.6,326.6,0
1.49172,331.6,326.6,0
1.50568,331.5,326.7,0
1.51671,331.4,326.7,0
1.52694,331.3,326.5,0
1.53699,331.4,326.7,0
1.54909,331.4,326.6,0
1.5584,331.2,326.7,0
1.57156,331.3,326.7,0
1.58029,331.3,326.8,0
1.59335,331.2,326.9,0
1.60586,331.2,326.8,0
1.61583,331.2,326.8,0
1.62875,331.3,326.6,0
1.64145,331.3,326.8,0
1.64878,331.3,326.7,0
1.66123,331.3,326.8,0
1.67482,331.4,326.8,0
1.68578,331.3,326.9,0
1.70133,331.2,326.8,0
1.71474,331.4,326.7,0
1.72461,331.4,326.7,0
1.73595,331.3,326.6,0
1.74597,331.1,326.6,0
1.75515,331.1,326.4,0
1.76827,331,326.4,0
1.77702,330.9,326.4,0
1.78973,331,326.3,0
1.80366,331,326.2,0
1.81549,331.2,326,0
1.82777,331.2,326,0
1.84294,331,326.1,0
1.85112,331.2,326.2,0
1.85833,331.3,326.3,0
1.8721,331.4,326.4,0
1.88284,331.4,326.4,0
1.89626,331.4,326.4,0
1.90852,331.3,326.6,0
1.91576,331.3,326.7,0
1.9281,331.2,327,0
1.94052,331.1,327.1,0
1.9517,331.2,327.1,0
1.96387,331.2,327.1,0
1.97211,331.2,327.1,0
